Entity Name	Entity type	Gene Symbol	Sources(; separated)	Level4	Level3	Level2	Model_Of_Inheritance	Phenotypes	Omim	Orphanet	HPO	Publications	Description	Flagged	GEL_Status	UserRatings_Green_amber_red	version	ready	Mode of pathogenicity	EnsemblId(GRch37)	EnsemblId(GRch38)	HGNC	Position Chromosome	Position GRCh37 Start	Position GRCh37 End	Position GRCh38 Start	Position GRCh38 End	STR Repeated Sequence	STR Normal Repeats	STR Pathogenic Repeats	Region Haploinsufficiency Score	Region Triplosensitivity Score	Region Required Overlap Percentage	Region Variant Type	Region Verbose Name
NFAT5	gene	NFAT5	Expert Review Green;GRID V2.0;IUIS Classification December 2019;IUIS Classification February 2018;Victorian Clinical Genetics Services	COVID-19 research		Viral research	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	NFAT5 haploinsufficieny;IBD, recurrent sinopulmonary infections;Diseases of Immune Dysregulation				32086639;32048120		False	3	0;0;100	1.143	False		ENSG00000102908	ENSG00000102908	HGNC:7774													
NFE2L2	gene	NFE2L2	Expert Review Green;IUIS Classification December 2019	COVID-19 research		Viral research	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Recurrent respiratory and skin infections, growth retardation, , developmental delay;NFE2L2 GOF;increased expression of stress response genes;Immunodeficiency, developmental delay, and hypohomocysteinemia, 617744;Combined immunodeficiencies with associated or syndromic features;white matter cerebral lesions, increased level of homocysteine				32086639;32048120;29018201		False	3	50;50;0	1.143	False		ENSG00000116044	ENSG00000116044	HGNC:7782													
NFKB1	gene	NFKB1	ESID Registry 20171117;Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	COVID-19 research		Viral research	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Unclassified antibody deficiency;Recurrent sinopulmonary infections, COPD, EBV proliferation, autoimmune cytopenias, alopecia and autoimmune thyroiditis;Common variable immunodeficiency disorders (CVID);Predominantly Antibody Deficiencies;Immunodeficiency, common variable, 12 616576				29477724;26279205		False	3	100;0;0	1.143	False		ENSG00000109320	ENSG00000109320	HGNC:7794													
NFKB2	gene	NFKB2	A- or hypo-gammaglobulinaemia v1.25;ESID Registry 20171117;Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	COVID-19 research		Viral research	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Recurrent sinopulmonary infections, alopecia and endorinopathies;Immunodeficiency, common variable, 10 615577;Unclassified antibody deficiency;Hypogammaglobuliaemia;central adrenal insufficiency;immune dysregulation;Common variable immunodeficiency disorders (CVID);Predominantly Antibody Deficiencies				25237204;24140114;25524009;24888602		False	3	100;0;0	1.143	False		ENSG00000077150	ENSG00000077150	HGNC:7795													
NFKBIA	gene	NFKBIA	ESID Registry 20171117;Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	COVID-19 research		Viral research	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Combined immunodeficiencies with associated or syndromic features;Anhidrotic ectodermal dysplasia,  various infections (bacteria, mycobacteria, viruses and fungi), colitis, variable defects of skin, hair and teeth, T cell and monocyte dysfunction;Defects of TLR/NFkappa-B signalling;Ectodermal dysplasia, anhidrotic, with T-cell immunodeficiency 612132				18412279;17931563;14523047;15337789		False	3	100;0;0	1.143	False	Loss-of-function variants (as defined in pop up message) DO NOT cause this phenotype - please provide details in the comments	ENSG00000100906	ENSG00000100906	HGNC:7797													
NHEJ1	gene	NHEJ1	Combined B and T cell defect v1.12;ESID Registry 20171117;Expert Review Green;GOSH PID v.8.0;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;SCID v1.6;Victorian Clinical Genetics Services	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	Combined immunodeficiency;Severe combined immunodeficiency with microcephaly, growth retardation and sensitivity to ionizing radiation, 611291;Nl NK, radiation sensitive, microcephaly;Immunodeficiencies affecting cellular and humoral immunity;Severe combined immunodeficiency with microcephaly, growth retardation, and sensitivity to ionizing radiation;T-B+ SCID;Cernunnos/XLF deficiency;T-B- SCID						False	3	100;0;0	1.143	False		ENSG00000187736	ENSG00000187736	HGNC:25737													
NHP2	gene	NHP2	ESID Registry 20171117;Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	Dyskeratosis congenita;Hoyeraal-Hreidarsson syndrome;Dyskeratosis congenita, autosomal recessive 2 613987;Combined immunodeficiencies with associated or syndromic features;Intrauterine growth retardation, microcephaly, nail dystrophy, sparse scalp hair and eyelashes, hyperpigmentation of skin, palmar hyperkeratosis, premalignant oral leukoplakia, pancytopenia, myelodysplasia, +/- recurrent infections. A severe phenotype with developmental delay and cerebellar hypoplasia known as Hoyeraal-Hreidarsson Syndrome (HHS) may occur in some DKC patients				25182133;18523010;20301779;20008900;25907943		False	3	100;0;0	1.143	False		ENSG00000145912	ENSG00000145912	HGNC:14377													
NLRC4	gene	NLRC4	Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	COVID-19 research		Viral research	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Autoinflammation with infantile enterocolitis, OMIM:616050;?Familial cold autoinflammatory syndrome 4, OMIM:616115;Severe enterocolitis and macrophage activation syndrome;Autoinflammatory Disorders				25217960;25217959;25385754;27876626		False	3	100;0;0	1.143	False	Loss-of-function variants (as defined in pop up message) DO NOT cause this phenotype - please provide details in the comments	ENSG00000091106	ENSG00000091106	HGNC:16412													
NLRP1	gene	NLRP1	Expert Review Green;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH	COVID-19 research		Viral research	BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Dyskeratosis, autoimmunity and arthritis;Palmoplantar carcinoma, corneal scarring;Autoinflammation with arthritis and dyskeratosis;Autoinflammatory Disorders				29850521;27662089;31484767;27965258		False	3	50;50;0	1.143	False		ENSG00000091592	ENSG00000091592	HGNC:14374													
NLRP12	gene	NLRP12	Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	COVID-19 research		Viral research	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Familial cold autoinflammatory syndrome 2, OMIM:611762;Non-pruritic urticaria, arthritis, chills, fever and leukocytosis after cold exposure;Preterm premature rupture of membranes (PPROM);Autoinflammatory Disorders				29248470;29178652;27633793;18230725;27779193		False	3	100;0;0	1.143	False		ENSG00000142405	ENSG00000142405	HGNC:22938													
NLRP3	gene	NLRP3	ESID Registry 20171117;Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	COVID-19 research		Viral research	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	CINCA syndrome, OMIM:607115;Deafness, autosomal dominant 34, with or without inflammation, OMIM:617772;Familial cold inflammatory syndrome 1, OMIM:120100;Muckle-Wells syndrome, OMIM:191900				28847925;11687797;11992256;29366613;12522564;12032915		False	3	100;0;0	1.143	False		ENSG00000162711	ENSG00000162711	HGNC:16400													
NOD2	gene	NOD2	ESID Registry 20171117;Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	COVID-19 research		Viral research	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Blau syndrome, OMIM:186580;{Inflammatory bowel disease 1, Crohn disease}, OMIM:266600;{Yao syndrome}, OMIM:617321				18955195;15459013;11528384;4056967		False	3	100;0;0	1.143	False		ENSG00000167207	ENSG00000167207	HGNC:5331													
NOP10	gene	NOP10	ESID Registry 20171117;Expert Review Green;GRID V2.0;IUIS Classification February 2018;Victorian Clinical Genetics Services	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	Dyskeratosis congenita;Dyskeratosis congenita 1;Dyskeratosis congenita, autosomal recessive 1 224230;Intrauterine growth retardation, microcephaly, nail dystrophy, sparse scalp hair and eyelashes, hyperpigmentation of skin, palmar hyperkeratosis, premalignant oral leukoplakia, pancytopenia, myelodysplasia, +/- recurrent infections. A severe phenotype with developmental delay and cerebellar hypoplasia known as Hoyeraal-Hreidarsson Syndrome (HHS) may occur in some DKC patients;Combined immunodeficiencies with associated or syndromic features;Hoyeraal-Hreidarsson syndrome				17507419		False	3	50;50;0	1.143	False		ENSG00000182117	ENSG00000182117	HGNC:14378													
NOS2	gene	NOS2	Expert list;Expert Review Green	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal					31995689;11207313		False	3	100;0;0	1.143	False		ENSG00000007171	ENSG00000007171	HGNC:7873													
NSMCE3	gene	NSMCE3	Expert Review Green;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	Lung disease, immunodeficiency, and chromosome breakage syndrome, 617241;Combined immunodeficiencies with associated or syndromic features;Severe lung disease (possibly viral), thymic hypoplasia, Chromosomal breakage, radiation sensitivity				27427983		False	3	100;0;0	1.143	False		ENSG00000185115	ENSG00000185115	HGNC:7677													
OAS1	gene	OAS1	Expert Review Green;IUIS Classification December 2019	COVID-19 research		Viral research	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Immunodeficiency 100 with pulmonary alveolar proteinosis and hypogammaglobulinemia, OMIM:618042				32086639;29455859;32048120		False	3	50;50;0	1.143	False		ENSG00000089127	ENSG00000089127	HGNC:8086													
ORAI1	gene	ORAI1	ESID Registry 20171117;Expert Review Green;GOSH PID v.8.0;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;SCID v1.6;Victorian Clinical Genetics Services	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	Combined immunodeficiency;immunodeficiency, ectodermal dysplasia and myopathy;Immunodeficiency 9 612782;Autoimmunity, EDA, non-progressive myopathy;T-B+ SCID;Combined immunodeficiencies with associated or syndromic features				16582901;20004786		False	3	80;0;20	1.143	False		ENSG00000182500	ENSG00000276045	HGNC:25896													
OSTM1	gene	OSTM1	Expert Review Green;IUIS Classification December 2019;IUIS Classification February 2018	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	Defects in intrinsic and innate immunity;Defects in Intrinsic and Innate Immunity;Osteopetrosis with hypocalcemia, neurologic features				32086639;32048120		False	3	0;100;0	1.143	False		ENSG00000081087	ENSG00000081087	HGNC:21652													
OTULIN	gene	OTULIN	Expert Review;Expert Review Green;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	Autoinflammation, panniculitis, and dermatosis syndrome, OMIM:617099;Fever, diarrhoea, dermatitis;Autoinflammatory Disorders				27559085;27523608		False	3	100;0;0	1.143	False		ENSG00000154124	ENSG00000154124	HGNC:25118													
PALB2	gene	PALB2	Expert Review Green;IUIS Classification December 2019	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	Fanconi anemia, complementation group N, 610832				32086639;32048120		False	3	100;0;0	1.143	False		ENSG00000083093	ENSG00000083093	HGNC:26144													
PARN	gene	PARN	Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	COVID-19 research		Viral research	BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Pulmonary fibrosis and/or bone marrow failure,telomere-related, 4 616371;Dyskeratosis congenita, autosomal recessive 6 616353;Intrauterine growth retardation, microcephaly, nail dystrophy, sparse scalp hair and eyelashes, hyperpigmentation of skin, palmar hyperkeratosis, premalignant oral leukoplakia, pancytopenia, myelodysplasia, +/- recurrent infections. A severe phenotype with developmental delay and cerebellar hypoplasia known as Hoyeraal-Hreidarsson Syndrome (HHS) may occur in some DKC patients;Combined immunodeficiencies with associated or syndromic features				25848748;26342108;25893599		False	3	100;0;0	1.143	False		ENSG00000140694	ENSG00000140694	HGNC:8609													
PAX1	gene	PAX1	Expert Review Green;Literature;Other	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	Otofaciocervical syndrome 2, 615560;Syndromic SCID				28657137;32111619		False	3	100;0;0	1.143	False		ENSG00000125813	ENSG00000125813	HGNC:8615													
PEPD	gene	PEPD	Expert Review Green;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	Prolidase deficiency, 170100;Autoantibodies common, chronic skin ulcers, eczema, infections;Diseases of Immune Dysregulation				6637477;19308961;15309682;17142620;8900231;1972707;2365824;16470701		False	3	100;0;0	1.143	False		ENSG00000124299	ENSG00000124299	HGNC:8840													
PGM3	gene	PGM3	ESID Registry 20171117;Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	Immunodeficiency 23 615816;Combined immunodeficiencies with associated or syndromic features;Severe atopy, autoimmunity, bacterial and viral infections, skeletal anomalies dysplasia: short stature, brachydactyly, dysmorphic facial features, and intellectual disability cognitive impairment, hypomyelination;Combined immunodeficiency				24698316;24589341;24931394		False	3	100;0;0	1.143	False		ENSG00000013375	ENSG00000013375	HGNC:8907													
PIK3CD	gene	PIK3CD	A- or hypo-gammaglobulinaemia v1.25;ESID Registry 20171117;Expert Review Green;GRID V2.0;IUIS Classification December 2026;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	COVID-19 research		Viral research	BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Immunodeficiency 14A, autosomal dominant, OMIM:615513;Immunodeficiency 14B, autosomal recessive, OMIM:619281;Combined immunodeficiency;Activated PI3K-delta syndrome (APDS);Predominantly Antibody Deficiencies;Sinopulmonary infections, dysgammaglobulinaemia, lymphadenopathy, nodular lymphoid hyperplasia and herpesviremia;Severe bacterial infections				24165795;24136356;29226301		False	3	100;0;0	1.143	False	Loss-of-function variants (as defined in pop up message) DO NOT cause this phenotype - please provide details in the comments	ENSG00000171608	ENSG00000171608	HGNC:8977													
PIK3CG	gene	PIK3CG	Expert list;Expert Review Green	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	Immune dysregulation;HLH-like;childhood-onset antibody defects;cytopenias;T lymphocytic pneumonitis and colitis				32001535;31554793		False	3	100;0;0	1.143	False		ENSG00000105851	ENSG00000105851	HGNC:8978													
PIK3R1	gene	PIK3R1	A- or hypo-gammaglobulinaemia v1.25;ESID Registry 20171117;Expert Review Green;GOSH PID v.8.0;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	COVID-19 research		Viral research	BOTH monoallelic and biallelic (but BIALLELIC mutations cause a more SEVERE disease form), autosomal or pseudoautosomal	Agammaglobulinemia;Severe bacterial infections,  decreased or absent pro-B cells;Combined immunodeficiency;Immunodeficiency 36;Activated PI3K-delta syndrome (APDS);immunodeficiency with hypogammaglobulinaemia, lymphoproliferation and inflammatory disease (AD);Agammaglobulinemia 7, autosomal recessive, 615214;Agammaglobulinemia 7;Immunodeficiency 36, 616005;Predominantly Antibody Deficiencies;SHORT syndrome, 269880;Severe bacterial infections, pro-B cells present and low numbers of memory B cells, EBV				25133428;22351933;9888855;25488983		False	3	100;0;0	1.143	False		ENSG00000145675	ENSG00000145675	HGNC:8979													
PLCG2	gene	PLCG2	A- or hypo-gammaglobulinaemia v1.25;ESID Registry 20171117;Expert Review Green;GOSH PID v.8.0;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	COVID-19 research		Viral research	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Autoinflammation, antibody deficiency, and immune dysregulation syndrome, OMIM:614878;Familial cold autoinflammatory syndrome 3, OMIM:614468;Hypogammaglobulinaemia, cold induced urticaria, autoinflammatory				29538758;23000145;22236196		False	3	100;0;0	1.143	False	Loss-of-function variants (as defined in pop up message) DO NOT cause this phenotype - please provide details in the comments	ENSG00000197943	ENSG00000197943	HGNC:9066													
PLEKHM1	gene	PLEKHM1	Expert Review Green;IUIS Classification December 2019;IUIS Classification February 2018	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	Osteopetrosis;Defects in intrinsic and innate immunity;Defects in Intrinsic and Innate Immunity				32086639;32048120		False	3	0;0;100	1.143	False		ENSG00000225190	ENSG00000225190	HGNC:29017													
PMS2	gene	PMS2	ESID Registry 20171117;Expert Review Green;GRID V2.0;IUIS Classification December 2019;IUIS Classification February 2018	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	Recurrent infections, cafe-au-lait spots, lymphoma, colorectal carcinoma, brain tumors;Post-Meiotic Segregation 2 (PMS2) deficiency;Mismatch repair cancer syndrome 276300;Combined immunodeficiencies with associated or syndromic features;CSR defects and Hyper IgM (HIGM) syndromes;Recurrent infections, caf-au-lait spots, lymphoma, colorectal carcinoma, brain tumors				7661930;9488480;15077197;32086639;16507833;10763829;32048120		False	3	0;100;0	1.143	False		ENSG00000122512	ENSG00000122512	HGNC:9122													
PNP	gene	PNP	ESID Registry 20171117;Expert Review Green;GOSH PID v.8.0;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;SCID v1.6;Victorian Clinical Genetics Services	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	Combined immunodeficiency;Autoimmune haemolytic anemia, neurological impairment;Immunodeficiency due to purine nucleoside phosphorylase deficiency;Atypical Severe Combined Immunodeficiency (Atypical SCID);T-B+ SCID;Combined immunodeficiencies with associated or syndromic features						False	3	100;0;0	1.143	False		ENSG00000198805	ENSG00000198805	HGNC:7892													
POLA1	gene	POLA1	Expert Review Green;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH	COVID-19 research		Viral research	X-LINKED: hemizygous mutation in males, biallelic mutations in females	Hyperpigmentation, characteristic facies, lung and GI involvement;Autoinflammatory Disorders;Pigmentary disorder, reticulate, with systemic manifestations, X-linked 301220;X-linked reticulate pigmentary disorder;x-linked cutaneous amyloidosis with systemic features				27019227		False	3	100;0;0	1.143	False		ENSG00000101868	ENSG00000101868	HGNC:9173													
POLD1	gene	POLD1	Expert Review Green;IUIS Classification December 2019	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	Immunodeficiencies affecting cellular and humoral immunity;Recurrent respiratory tract infections, skin infections, warts and molluscum, short stature, intellectual disability;Polymerase d 1 deficiency				31449058;32086639;32048120;31629014		False	3	50;50;0	1.143	False		ENSG00000062822	ENSG00000062822	HGNC:9175													
POLD2	gene	POLD2	Expert Review Green;IUIS Classification December 2019	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	Immunodeficiencies affecting cellular and humoral immunity;Polymerase d 2 deficiency;Recurrent respiratory tract infections, skin infections, warts and molluscum, short stature, intellectual disability				31449058;32086639;32048120		False	3	50;50;0	1.143	False		ENSG00000106628	ENSG00000106628	HGNC:9176													
POLE	gene	POLE	ESID Registry 20171117;Expert Review Green;GRID V2.0;IUIS Classification February 2018;Victorian Clinical Genetics Services	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	Recurrent respiratory infections, meningitis, facial dysmorphism, livido, short stature;Combined immunodeficiencies with associated or syndromic features;FILS syndrome 615139;Facial dysmorphism, immunodeficiency, livedo, and short stature (FILS syndrome)				23230001		False	3	0;100;0	1.143	False		ENSG00000177084	ENSG00000177084	HGNC:9177													
POLE2	gene	POLE2	Expert Review Green;IUIS Classification December 2019;IUIS Classification February 2018	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	Recurrent infections, disseminated BCG infections, autoimmunity (type 1 diabetes, hypothyroidism, facial dysmorphism);Combined immunodeficiencies with associated or syndromic features;Recurrent infections, disseminated BCG infections, autoimmunity (type 1 diabetes, hypothyroidism, facial dysmorphism				32086639;32048120		False	3	0;0;100	1.143	False		ENSG00000100479	ENSG00000100479	HGNC:9178													
POLR3A	gene	POLR3A	Expert list;Expert Review Green;IUIS Classification December 2019;Victorian Clinical Genetics Services	COVID-19 research		Viral research	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	RNA polymerase III deficiency;Severe VZV infection;Predisposition to severe viral infection;Defects in intrinsic and innate immunity				29728610;28783042;32086639;32048120		False	3	67;0;33	1.143	False		ENSG00000148606	ENSG00000148606	HGNC:30074													
POLR3C	gene	POLR3C	Expert list;Expert Review Green;IUIS Classification December 2019;Victorian Clinical Genetics Services	COVID-19 research		Viral research	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	RNA polymerase III deficiency;Severe VZV infection;Predisposition to severe viral infection;Defects in intrinsic and innate immunity				28783042;32086639;32048120		False	3	67;0;33	1.143	False		ENSG00000186141	ENSG00000186141	HGNC:30076													
POLR3F	gene	POLR3F	Expert list;Expert Review Green;IUIS Classification December 2019;Victorian Clinical Genetics Services	COVID-19 research		Viral research	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	RNA polymerase III deficiency;Severe VZV infection;Predisposition to severe viral infection;Defects in intrinsic and innate immunity				30211253;32086639;32048120		False	3	100;0;0	1.143	False		ENSG00000132664	ENSG00000132664	HGNC:15763													
POMP	gene	POMP	Expert Review Green;London North GLH;NHS GMS;North West GLH	COVID-19 research		Viral research	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Proteasome-associated autoinflammatory syndrome 2, 618048;CANDLE syndrome (Autoinflammation, lipodystrophy, and dermatosis syndrome);combined immunodeficiency with autoinflammation				29805043;26524591		False	3	100;0;0	1.143	False		ENSG00000132963	ENSG00000132963	HGNC:20330													
PRF1	gene	PRF1	ESID Registry 20171117;Expert Review Green;GOSH PID v.8.0;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	Fever, HSM,  Hemophagocytic lymphohistiocytosis (HLH), cytopenias;FHL2;HPLH2;Familial hemophagocytic lymphohistiocytosis syndromes (FHLH);Diseases of Immune Dysregulation;Hemophagocytic lymphohistiocytosis, familial 2, 603553;HLH2				15365097;11179007;15632205;20301617;10583959;14757862;12229880;16860143		False	3	100;0;0	1.143	False		ENSG00000180644	ENSG00000180644	HGNC:9360													
PRKCD	gene	PRKCD	ESID Registry 20171117;Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	Recurrent infections, EBV chronic infection, lymphoproliferation, SLE-like autoimmunity (nephrotic and antiphospholipid syndromes), low IgG;Autoimmune lymphoproliferative syndrome, type III 615559;Diseases of Immune Dysregulation;Unclassified antibody deficiency;Immunodeficiency, common variable, 9;Autoimmune lymphoproliferative syndrome (ALPS)				23430113;23319571;23666743		False	3	100;0;0	1.143	False		ENSG00000163932	ENSG00000163932	HGNC:9399													
PRKDC	gene	PRKDC	ESID Registry 20171117;Expert Review Green;GOSH PID v.8.0;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;SCID v1.6;Victorian Clinical Genetics Services	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	Immunodeficiency 26, with or without neurologic abnormalities;DNA Pkcs deficiency;Combined immunodeficiency;Immunodeficiency, with or without neurologic abnormalities;Nl NK, radiation sensitive, microcephaly;Immunodeficiencies affecting cellular and humoral immunity;Severe combined immunodeficiency (SCID)				23722905;19075392;25842288		False	3	100;0;0	1.143	False		ENSG00000253729	ENSG00000253729	HGNC:9413													
PSEN1	gene	PSEN1	Expert Review Green;IUIS Classification February 2018	COVID-19 research		Viral research	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Hidradenitis suppurative with cutaneous hyperpigmentation;Acne inversa, familial, 3 613737;Defects in Intrinsic and Innate Immunity				20929727		False	3	0;0;100	1.143	False		ENSG00000080815	ENSG00000080815	HGNC:9508													
PSENEN	gene	PSENEN	Expert Review Green;IUIS Classification December 2019;IUIS Classification February 2018	COVID-19 research		Viral research	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Acne inversa, familial, 2, with or without Dowling-Degos disease 613736;Defects in intrinsic and innate immunity;Defects in Intrinsic and Innate Immunity;Hidradenitis suppurativa				23439959;28601418;28287404;23020871;20929727;32086639;21412258;27900998;32048120;28922471		False	3	0;100;0	1.143	False		ENSG00000205155	ENSG00000205155	HGNC:30100													
PSMB8	gene	PSMB8	ESID Registry 20171117;Expert Review Green;GRID V2.0;IUIS Classification December 2027;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	COVID-19 research		Viral research	BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Proteasome-associated autoinflammatory syndrome 1 and digenic forms, OMIM:256040;Autoinflammation, lipodystrophy, and dermatosis syndrome;Contractures, panniculitis, ICC, fevers;Autoinflammatory Disorders;CANDLE syndrome				21129723;21953331;21852578;21881205		False	3	100;0;0	1.143	False		ENSG00000204264	ENSG00000204264	HGNC:9545													
PSMG2	gene	PSMG2	Expert Review Green;IUIS Classification December 2019	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	Autoinflammatory Disorders;Panniculitis, lipodystrophy, autoimmune hemolytic anemia;CANDLE (chronic atypical neutrophilic dermatitis with lipodystrophy)				30664889;32086639;32048120		False	3	50;50;0	1.143	False		ENSG00000128789	ENSG00000128789	HGNC:24929													
PSTPIP1	gene	PSTPIP1	ESID Registry 20171117;Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	COVID-19 research		Viral research	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Pyogenic sterile arthritis, pyoderma gangrenosum, and acne, OMIM:604416;Destructive arthritis, inflammatory skin rash, myositis;Hyperzincaemia hypercalprotectinaemia;Autoinflammatory Disorders				28628471;28960754;29575118;26025129;28251506		False	3	100;0;0	1.143	False	Loss-of-function variants (as defined in pop up message) DO NOT cause this phenotype - please provide details in the comments	ENSG00000140368	ENSG00000140368	HGNC:9580													
PTEN	gene	PTEN	Expert Review Green;IUIS Classification December 2019;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH	COVID-19 research		Viral research	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Recurrent infections, Lymphoproliferation, Autoimmunity;Lymphoproliferation, Autoimmunity;developmental delay;Predominantly Antibody Deficiencies				32086639;27426521;32048120		False	3	0;100;0	1.143	False		ENSG00000171862	ENSG00000171862	HGNC:9588													
PTPRC	gene	PTPRC	ESID Registry 20171117;Expert Review Green;GOSH PID v.8.0;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;SCID v1.6;Victorian Clinical Genetics Services	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	Nl g/d T cells;{Hepatitic C virus, susceptibility to}, 609532;CD45 deficiency;Immunodeficiencies affecting cellular and humoral immunity;T-B+ SCID;Omenn syndrome;Severe combined immunodeficiency, T cell-negative, B-cell/natural killer-cell positive;Severe combined immunodeficiency (SCID)				11145714;10700239;22689986		False	3	100;0;0	1.143	False		ENSG00000081237	ENSG00000081237	HGNC:9666													
